N°;reponses_fr;reponse_intent;reponses_wo;reponses_transcription
30;Quel est le code secret de votre carte ?;FREEZE;Lan mooy sa kod sekere kart ?;[lan moːy sa kod sekere kart ?]
31;Votre compte a été bloquée avec succès;FREEZE;Jot nañoo tënk sa kont.;[jot nañoː tënk sa kont]
32;Vos dernières transactions sont les suivantes;LAST_TRANSACTIONS;Say jëflante yu mujjj yi ñoo nekk nii;[say jëflante yu mujː yi ñoː nekː niː]
33;Quel est le montant de votre facture ?;PAY_BILL;Sa faktiir naka la tollu ?;[sa faktiːr naka la tolːu ?]
34;Votre facture a été payée avec succès;PAY_BILL;Fey nañu sa faktiir ba noppi;[fey nañu sa faktiːr ba nopːi]
35;Donnez moi votre nom;OPEN_ACCOUNT;Jox ma sa sant ;[jox ma sa sant]
36;Donnez moi votre prenom;OPEN_ACCOUNT;Jox ma sa tur;[jox ma sa tur]
37;Donnez moi votre age;OPEN_ACCOUNT;Jox ma say at;[jox ma say at]
38;Donnez moi votre numéro de pièce d'identité;OPEN_ACCOUNT;Jox ma sa nimoro kart dantite;[jox ma sa nimoro kart dantite]
39;Souhaiteriez-vous prendre le bus du matin ou celui du soir ?;BUS_RESERVATION;Kaaru suba bi am kaaru ngoon bi nga bëgga jël ?;[kaːru suba bi am kaːru ngoːn bi nga bëgːa jël ?]
40;Il reste des places disponibles pour le bus du matin;BUS_RESERVATION;Kaaru suba bi des na ay palaas.;[kaːru suba si des na ay palaːs]
41;Il reste des places disponibles pour le bus du soir;BUS_RESERVATION;Kaaru ngoon bi des na ay palaas.;[kaːru ngoːn bi des na ay palaːs]
42;Le bus du matin prend départ à 7h;BUS_RESERVATION;Kaaru suba bi ci juroom-ñaari waxtu lay dem.;[kaːru suba bi ci juroːm-ñaːri waxtu lay dem]
43;Le bus du matin prend départ à 14h;BUS_RESERVATION;Kaaru suba bi ci fukki waxtu ak ñaar lay dem.;[kaːru suba bi ci fukːi waxtu ak ñaːr lay dem]
44;Le prix du ticket pour le bus est de 5000 fr;BUS_RESERVATION;Paas bi ci kaar bi junni la.;[paːs bi ci kaːr bi junːi la]
45;Pour quel jour voulez-vous réserver votre ticket ?;BUS_RESERVATION;Ban bés nga bëgga joxeel sa paas ?;[ban bes nga bëgːa joxeːl sa paːs ?]
46;Souhaitez-vous effectuer le paiement du transport ?;BUS_RESERVATION;Danga bëgg fey paas bi ?;[danga bëgː fey paːs bi?]
47;Combien de tickets souhaitez vous réserver ?;BUS_RESERVATION;Ñaata palaas nga bëgga jàpp?;[ñaːta palaːs nga bëgːa jàpː?]
48;Quelle est votre destination ?;BUS_RESERVATION;Fan nga jëm ?;[fan nga jëm?]
49;Quelle est votre ville de départ ?;BUS_RESERVATION;Ban dëgg ngay jóge ?;[ban dëkː ngay joge?]
50;Merci de me donner votre numéro de matricule;TECHNICAL_VISIT;Baal ma nga jox ma nimoro màtirkil.;[baːl ma nga jox ma nimoro matirkil]
51;lundi;TECHNICAL_VISIT;altine;[altine]
52;mardi;TECHNICAL_VISIT;talaata;[talaːta]
53;mercredi;TECHNICAL_VISIT;àllarba;[alːarba]
54;jeudi;TECHNICAL_VISIT;alxames;[alxames]
55;vendredi;TECHNICAL_VISIT;àjjuma;[ajːuma]
56;samedi;TECHNICAL_VISIT;gaawu;[gaːwu]
57;dimanche;TECHNICAL_VISIT;Dibéer;[dibeːr]
58;Votre rendez-vous pour la visite technique est prévue le ;TECHNICAL_VISIT;Sa bésu teewaay ngir wisit teknik moo.;[sa besu teːway ngir wisit teknik moː]
59;Merci de vous munir de deux triangles, d'un extincteur, d'un timbre de 2000 francs et de 7000 francs;TECHNICAL_VISIT;Booy ñów nanga indaale ññaaari tiriyaangal, benn feyukaaay, bennn teembaru ñeenti téemeer ak junni ak ñeenti téemeer.;[boːy ñow nanga indaːle ñaːri tiriyangal, benː feyukaːy, benː teːmbaru ñeːnti teːmeːr ak junːi ñeːnti teːmeːr]
60;8 heures;TECHNICAL_VISIT;Juróom ñatti waxtu;[juroːm ñatːi waxtu]
61;9 heures;TECHNICAL_VISIT;Juróom ñeenti waxtu;[juroːm ñeːnti waxtu]
62;10 heures;TECHNICAL_VISIT;Fukki waxtu;[fukːi waxtu]
63;11 heures;TECHNICAL_VISIT;Fukki waxtu ak benn;[fukːi waxtu ak benː]
64;12 heures;TECHNICAL_VISIT;Fukki waxtu ak ñaar;[fukːi waxtu ak ñaːr]
65;13 heures;TECHNICAL_VISIT;Fukki waxtu ak ñatt;[fukːi waxtu ak ñatː]
66;14 heures;TECHNICAL_VISIT;Fukki waxtu ñeent;[fukːi waxtu ñeːnt]
67;15 heures;TECHNICAL_VISIT;Fukki waxtu ak juróom;[fukːi waxtu ak juroːm]
68;16 heures;TECHNICAL_VISIT;Fukki waxtu ak juróom-benn;[fukːi waxtu ak juroːm-benː]
69;17 heures;TECHNICAL_VISIT;Fukki waxtu ak juróom-ñaar;[fukːi waxtu ak juroːm-ñaːr]
70;18 heures;TECHNICAL_VISIT;Fukki waxtu ak juróom-ñett;[fukːi waxtu ak juroːm-ñetː]
71;19 heures;TECHNICAL_VISIT;Fukki waxtu ak juróom-ñeent; [fukːi waxtu ak juroːm-ñeːnt]
72;20 heures;TECHNICAL_VISIT;Ñaar-fukki waxtu;[ñaːr-fukːi waxtu]
73;Combien souhaitez-vous transférer ?;TRANSFER_MONEY;Ñaata nga bëgga toxal ?;[ñaːta nga bëgːa toxal ?]
74;A qui souhaitez-vous transférer de l'argent ?;TRANSFER_MONEY;Kan nga bëgga toxalal xaalis bi?;[kan nga bëgːa toxalal xaːlis bi ?]
75;Confirmez-vous le transfert de la somme de ;TRANSFER_MONEY;Ndax firndeel nga toxal bu tollu ci;[ndax firndeːl nga toxal bu tolːu ci]
76;Le montant que vous souhaitez transférer n'est pas disponible;TRANSFER_MONEY;Koppar yi nga bëgga toxal jàppandiwul;[kopːar yi nga bëgːa toxal japːandiwul]
77;Impossible d'effectuer l'opération de transfert;TRANSFER_MONEY;Jëflante toxal bi mënula nekk.;[jëflante toxal bi mënul nekː]
