N°;text_fr;intent;text_wo;trans.
53;Bonjour je souhaite déposer une grosse somme d'argent en cash sur mon compte courant veuillez m'indiquer la meilleure manière de procéder.;CASH_DEPOSIT;Salaamaalekum. Dama bëgga dugal xaalis bu takku, xoobet-xoobet, ci sama kont. … Ndax mën ngéen maa tektal nima koy defe ci anam bi gën ?;[salaːmaːlekum. dama bëgːa dugal xaːlis bu takːu, xoːbet-xoːbet, ci sama kont… ndax mën ngeːn maː tektal nima koy defe ci anam bi gën ?] 
54;Bonjour je souhaiterais déposer de l'argent sur mon compte.;CASH_DEPOSIT;Salaamaalekum, Dama bëggoona dugal xaalis ci sama kont;[salaːmaːlekum, dama bëgːoːna dugal xaːlis ci sama kont]
55;Bonjour J'aurais souhaité déposer une somme d'argent sur le compte et je ne sais pas comment procéder pouvez-vous m'expliquer s'il vous plaît ?;CASH_DEPOSIT;Salaamaalekum, dama bëggoona dugal xaalis ci kont bi te xamuma naka laay def. Ndax mën ngéen ma koo tektal ?;[salaːmaːlekum, dama bëgːoːna dugal xaːlis ci kont bi te xamuma naka laːy def. ndax mën ngeːn ma koː tektal ?]
56;puis-je déposer de l'argent ?;CASH_DEPOSIT;Ndax mën naa dugal xaalis ?;[ndax mën naː dugal xaːlis ?]
57;où est la banque pour déposer de l'argent ?;CASH_DEPOSIT;Ana bànk bi ñuy dugale xaalis ?;[ana bànk bi ñuy dugale xaːlis ?]
58;je souhaiterais déposer mon argent est-ce que je peux savoir comment le déposer ? Merci.;CASH_DEPOSIT;Dama bëggoona dugal sama xaalis. Ndax mên naa xam naka laa koy dugale ? jarajëf.;[dama bëgːoːna dugal sama xaːlis. ndax mën naː xam naka laː koy dugale ?]
59;Bonjour Je souhaiterais savoir la procédure pour déposer de l'argent sur mon compte en banque et comment transférer de l'argent directement dessus ? Merci.;CASH_DEPOSIT;Salaamaalekum. Dama bëggoona  xam naka laay dugale xaalis ci sama kontu bànk ak naka laay toxale xaalis ci yoon wu jub..;[salaːmaːlekum. dama bëgːoːna xam naka laːy dugale xaːlis ci sama kontu bànk ak naka laːy toxale xaːlis ci yoːn wu jub…]
60;Bonjour j'aimerais savoir comment je peux déposer de l'argent sur mon compte en banque.;CASH_DEPOSIT;Salaamaalekum. bëgg naa xam naka laay dugale xaalis ci sama kontu bànk.;[salaːmaːlekum. bëgː naː xam naka laːy dugale xaːlis ci sama kontu bànk]
61;comment puis-je déposer de l'argent sur mon compte ?;CASH_DEPOSIT;Naka laa mëna dugale xaalis ci sama kont ?;[naka laː mëna dugale xaːlis ci sama kont ?]
62;bonjour comment puis-je déposer de l'argent sur mon compte.;CASH_DEPOSIT;Salaamaalekum. Naka laay def ba dugal xaalis ci sama kont ?;[salaːmaːlekum. naka laːy def ba dugal xaːlis ci sama kont ?]
63;Bonjour Je souhaiterais savoir comment transférer de l'argent sur mon compte.;CASH_DEPOSIT;Salaamaalekum. Dama bëgga xam naka laay toxale xaalis ci sama kont.;[salaːmaːlekum. dama bëgːa xam naka laːy toxale xaːlis ci sama kont]
64;comment transférer de l'argent ?;CASH_DEPOSIT;Naka lañuy toxale xaalis ?;[naka lañuy toxale xaːlis ?]
65;oui bonjour pourriez-vous m'indiquer comment je peux transférer ?;CASH_DEPOSIT;Waaw. Salaamaalekum, ndax mën ngéen maa tektal naka lañuy toxale xaalis ?;[waːw. Salaːmaːlekum, ndax mën ngeːn maː tektal naka lañuy toxale xaːlis ?]
66;comment est-ce que je peux déposer de l'argent sur mon compte en banque virtuellement ou physiquement ?;CASH_DEPOSIT;Naka la mëna dugale xaalis ci sama kontu bànk ci yonnee ko mbaa ma teew ?;[naka la mëna dugale xaːlis ci sama kontu bank ci yonːeː ko mbaː ma teːw ?]
67;allo bonjour oui madame je vous appelle pour savoir comment je peux déposer de l'espèce sur mon compte ? Merci.;CASH_DEPOSIT;Aloo ! salaamaalekum. Waaw, soxna si, dama la woo ngir xam naka laay dugale xaalis bu teew ci sama kont ? jarajëf;[aloː ! salaːmaːlekum. waːw, soxna si dama la woː ngir xam naka laːy dugale xaːlis bu teːw ci sama kont ? jarajëf]
68;Bonjour je vous appelle pour mon compte en banque j'aimerais pouvoir transférer une somme de 1000 fr sur mon compte pouvez-vous m'aider ?;CASH_DEPOSIT;Salaamaalekum. Dama leen woo ngir sama kontu bànk. Dama bëgga toxal lu mat ñaari téeméer ci sama kont. Ndax mën ngéen ma cee dimbali ?;[salaːmaːlekum. dama leːn woː ngir sama kontu bank. dama bëgːa toxal lu mat ñaːri teːmeːr ci sama kont. ndax mën ngeːn ma ceː dimbali ?]
69;puis-je passer de l'argent sur mon compte ?;CASH_DEPOSIT;Ndax mën naa jàllale xaalis ci sama kont ?;[ndax mën naː jalːale xaːlis ci sama kont ?]
70;je souhaiterais savoir comment déposer de l'argent sur mon compte faut-il venir en agence ?;CASH_DEPOSIT;Dama bëggoona xam naka laay dugale xaalis ci sama kont ? Ndax dama wara teew ci bërëb bi ?;[dama bëgːoːna xam naka laːy dugale xaːlis ci sama kont ? ndax dama wara teːw ci bërëb bi ?]
71;j'aimerais déposer de l'argent sur mon compte.;CASH_DEPOSIT;Dama bëggoona dugal xaalis ci sama kont;[dama bëgːoːna dugal xaːlis ci sama kont]
72;j'aimerais bloquer ma carte immédiatement car j'ai vu qu'il y avait des transactions frauduleuses;FREEZE;Dama bëgga tënk sama kàrt cisaasi ndax seetlunaa ni na ni amna ay wuruj yu ñu ciy doxal.;[dama bëgːa tënk sama kart ci saːsi ndax seːtlunaː ni amna ay wuruj yu ñu ciy doxal]
73;je souhaiterais bloquer ma carte;FREEZE;Dama bëgga tënk sama kart;[dama bëgːa tënk sama kart]
74;blocage de ma carte;FREEZE;Tënk sama kàrt.;[tënk sama kart]
75;je vous appelle car j'ai un problème avec ma carte je crois qu'elle a été piratée j'aimerais que vous bloquiez tous les paiements merci beaucoup;FREEZE;Dama  woote ndax dama am ay jafe-jafe ci sama kàrt. Dama jort ni dañu ko suxlu. Ma bëggoon ngéen gàntal lépp lu ciy jêle xaalis. Jaangéen-jêf.;[dama woːte ndax dama am ay jafe-jafe ci sama kart. dama njort ni dañu ko suxlu. ma bëgːoːn ngeːn gantal lepː lu ciy jël xaːlis. jaːngeːn-jëf]
76;je souhaiterais bloquer ma carte;FREEZE;Dama bëgga tënk sama kàrt.;[dama bëgːa tënk sama kart]
77;pouvez-vous geler ma carte s'il vous plait;FREEZE;Ndax mën ngéena ajandi sama kart ?;[ndax mën ngeːna ajandi sama kart]
78;bloquer ma carte;FREEZE;Tënk sama kàrt.;[tënk sama kart]
79;bloquer ma carte bancaire;FREEZE;Tënk sama kartu bànk.;[tënk sama kartu bank]
80;oui bonjour suite à la perte de ma carte bancaire j'aurais aimé que vous bloquiez ma carte s'il vous plait merci;FREEZE;Waaw, salaamaaleekum. Sama kartu bànk dafa réer, ma bëggoon ngéen tënkal ma ko. Jarajëf.;[waːw, salaːmaːlekum. sama kartu bànk dafa reːr, ma bëgːoːn ngeːn tënkal ma ko. jarajëf]
81;j'aimerais bloquer la carte temporairement;FREEZE;Dama bëggoona tënk kart bi ba ab diir.;[dama bëgːoːna tënk kart bi ba ab diːr]
82;arrêtez toutes les transactions sur ma carte;FREEZE;Dakkal leen bépp jëflante ci sama kàrt.;[dakːal leːn bepː jëflante ci sama kart]
83;veuillez bloquer ma carte;FREEZE;Tënk léen sama kàrt;[tënk leːn sama kart]
84;je veux bloquer ma carte bancaire;FREEZE;Dama bëgga tënk sama kàrtu bank.;[dama bëgːa tënk sama kartu bànk]
85;Bonjour J'ai besoin de bloquer ma carte s'il vous plait;FREEZE;Salaamaalekum. Dama bëgg ngéen tënk sama kart.;[salaːmaːlekum. dama bëgː ngeːn tënk sama kart]
86;bonjour j'aimerais pouvoir complètement bloquer ma carte s'il vous plait;FREEZE;Salaamaalekum.  Dama bëgg ñu tëj ràpp sama kàrt.;[salaːmaːlekum. dama bëgː ñu tëj rapː sama kart]
87;Bonjour je vous appelle car j'ai une demande urgente j'ai perdu ma carte et j'aimerais que vous la bloquiez s'il vous plait merci;FREEZE;Salaamaalekum. Ngéen baal ma, dama woote ndax am soxla bu jàmp. Sama kàrt moo réer te ma bëggoon ngeen tënk ko.Jarajëf.;[salaːmaːlekum. ngeːn baːl ma, dama woːte ndax am soxla bu jamp. Sama kart moː reːr te ma bëgːoːn ngeːn tënk ko. jarajëf]
88;Bonjour je vous appelle à propos de ma carte de crédit j'aimerais la bloquer;FREEZE;Na ngéen def ? Dama woote ngiri lu jëm ci sama kàrtu koppar. Dama ko bëggoona tënk. ;[na ngeːn def ? dama woːte ngir lu jëm ci sama kartu kopːar. dama ko bëgːoːna tënk]
89;serait-il possible de bloquer ma carte;FREEZE;Ndax mënees naa tënk sama kart?;[ndax mëneːs naː tënk sama kart?]
90;avoir plus d'information de comment bloquer ma carte;FREEZE;Am yeneen tektal ci may tënke sama kart.;[am yeneːn tektal ci nimay tënke sama kart]
91;on m'a volé ma carte je souhaiterais bloquer toutes les transactions;FREEZE;Dañoo sàcc sama kàrt, ma bëggoona dakkal lépp lu ñ.u ciy jëflante;[dañoː sàcː sama kart, ma bëgːoːna dakːal lepː lu ñu ciy jëflante]
92;j'ai perdu ma carte bancaire je souhaiterais faire opposition et là bloquer afin de bloquer tout paiement;FREEZE;Dama réeral sama kàrtu bànk, ma bëggoon nu tënk ko ba kenn du ci mëna feyoo dara.  ;[dama reːral sama kartu bànk, ma bëgːoːn nu tënk ko ba kenː du ci mëna feyoː dara]
93;je souhaite bloquer ma carte;FREEZE;Dama bëgga tënk sama kàrt.;[dama bëgːa tënk sama kart]
94;je veux faire bloquer ma carte de crédit;FREEZE;Dama bëgga tënklu sama kàrtu bank.;[dama bëgːa tënklu sama kartu bànk]
95;j'ai besoin de vous bloquer ma carte;FREEZE;Dama soxla ngéen tënk sama kart.;[dama soxla ngeːn tënk sama kart]
96;montre-moi mes dernières transactions;LATEST_TRANSACTIONS;Won ma jëflante yi mujja am ci sama kart.;[won ma jëflante yi mujːa am ci sama kart]
97;je veux consulter mes dernières transactions;LATEST_TRANSACTIONS;Dama bëgga gis samay jëflante yu mujj yi.;[dama bëgːa gis samay jëflante yu mujː yi]
98;je voudrais les dernières transactions de ma carte;LATEST_TRANSACTIONS;Jëflante yu mujj yi ci sama kart la soxla .;[jëflante yu mujː yi ci sama kart la soxla]
99;je souhaite consulter mes dernières opérations;LATEST_TRANSACTIONS;Dama bëgga gis sama jëflante yu mujj yi.;[dama bëgːa gis sama jëflante yu mujː yi]
100;j'appelle à propos de mes dernières transactions;LATEST_TRANSACTIONS;Dama woote ngir lu jëm ci samay jëflante yu mujj yi.;[dama woːte ngir lu jëm ci samay jëflante yu mujː yi]
101;bonjour je voulais regarder mes derniers paiements. Est-ce que c'est possible d'avoir mes transactions récentes;LATEST_TRANSACTIONS;Salaamaalekum dama bëggoona xool li ma mujja fey. Ndax mën naa xam sama jëflante yu mujj yi?;[salaːmaːlekum dama bëgːoːna xoːl li ma mujːa fey, ndax mën naː xam sama jëflante yu mujː yi ?]
102;quelles sont les dernières transactions;LATEST_TRANSACTIONS;Yan ñooy jëflante yu mujj yi ?;[yan ñoːy jëflante yu mujː yi ?]
103;j'aimerais obtenir la liste des dernières transactions effectuées sur mon compte;LATEST_TRANSACTIONS; Dama bëggoona am limu jëflante yi mujje ci sama kont.;[dama bëgːoːna am limu jëflante yi mujːe ci sama kont]
104;montre-moi mes dernières transactions;LATEST_TRANSACTIONS;Won ma samay jëflante yu mujj.;[won ma samay jëflante yu mujː]
105;pouvez-vous me donner mes dernières transactions;LATEST_TRANSACTIONS;Ndax mën ngeen maa jox sama jëflante yu mujj ?;[ndax mën ngeːn maː jox sama jëflante yu mujː ?]
106;j'ai besoin de voir les derniers paiements;LATEST_TRANSACTIONS;Soxla naa gis  peyoor yu mujj yi.;[soxla naː gis peyoːr yu mujː yi]
107;bonjour Est-ce que vous pouvez me montrer mes dernières transactions il y a un paiement que je ne reconnais pas;LATEST_TRANSACTIONS;Salaamalekum. Ndax mën ngéen ma won samay jëflante yu mujj yi ? Dafa am benn peyoor bu ma ràññeewul.;[salaːmaːlekum. ndax mën ngeːn ma won samay jëflante yu mujː? dafa am benː peyoːr bu ma ràñːwul]
108;all√¥ oui bonjour j'aimerais avoir quelques renseignements concernant différents versements qui ont eu lieu récemment sur mon compte;LATEST_TRANSACTIONS;Aloo! Waaw, na ngéen def? Dama soxlawoon ay tektal yu jëm ci yenni dugali koppar yu am ci sama kont bu yàggul.;[aloː! waːw, na ngeːn def? dama soxlawoːn ay tektal yu jëm ci yenːi dugali kopːar yu am ci sama kont bu yaːgul]
109;je souhaiterais voir mes transactions récentes;LATEST_TRANSACTIONS;Dama bëgga gis sama jëflante yu yees yi.;[dama bëgːa gis sama jëflante yu yeːs yi]
110;Bonjour J'aimerais regarder mes transactions récentes s'il vous plait;LATEST_TRANSACTIONS;Salaamaalekum dama bëgga xool sama jëflante yu yees yi.;[salaːmaːlekum dama bëgːa xoːl sama jëflante yu yeːs yi]
111;oui je souhaiterais avoir accès à l'historique de mes dernières transactions sur la semaine dernière voilà merci;LATEST_TRANSACTIONS;Waaw, dama bëggoon ñu faram-fàcceel ma jëflante yi ma mujja am ci ayubés bi weesu. ;[waːw, dama bëgːoːn ñu faram-fàcːeːl ma jëflante yi ma mujːa am ci ayubes bi weːsu]
112;oui bonjour pouvez-vous me donner le montant de ma dernière transaction s'il vous plait;LATEST_TRANSACTIONS;Waaw, salaamaaleekum. Ndax mën ngéen ma jox limu sama jëflante bu mujj bi ? ;[waːw, salaːmaːlekum. ndax mën ngeːn ma jox limu sama jëflante bu mujː bi?]
113;Bonjour je souhaiterais visualiser les dix dernières transactions qui ont eu lieu sur mon compte;LATEST_TRANSACTIONS;Salaamaalekum . Dama bëggoona xool fukki jëflante yu mujj am ci sama kont.;[salaːmaːlekum. dama bëgːoːna xoːl fukːi jëflante yu mujː am ci sama kont]
114;j'aurais besoin de voir mes dernières transactions;LATEST_TRANSACTIONS;Dama ittewoo xool samay jëflante yu mujj.;[dama itːewo xoːl samay jëflante yu mujː]
115;je voudrais voir mes dernières transactions et paiement;LATEST_TRANSACTIONS;Dama bëggoona gis samay jëflante ak peyoor yu mujj yi.;[dama bëgːoːna gis samay jëflante ak peyoːr yu mujː yi]
116;je veux voir mes dernières transactions;LATEST_TRANSACTIONS;Dama bëgga gis sama jëflante yi mujj;[dama bëgːa gis sama jëflante yi mujː]
117;quelles sont mes dernières transactions;LATEST_TRANSACTIONS;Yan ñooy samay jëflante yu mujj?;[yan ñoːy samay jëflante yu mujː]
118;bonjour alors j'aimerais bien revoir un peu le résumé de mes transactions restants;LATEST_TRANSACTIONS;Salaamaalekum. Dama bëggoona xoolaat tuuti ci lu gàtt samay jëflante yi des.;[salaːmaːlekum. dama bëgːoːna xoːlaːt tuːti ci lu gatː samay jëflante yi des]
119;pourrais-tu m'afficher mes dernières transactions s'il te plait;LATEST_TRANSACTIONS;Nga baal ma. Ndax mën nga ma won samay jëflante yi mujj ?;[nga baːl ma. ndax mën nga ma won samay jëflante yi mujː ?]
120;Bonjour J'ai un problème car il y a sur mon relevé de compte un paiement que je ne reconnais pas pourriez-vous m'indiquer mes dernières transactions s'il vous plait;LATEST_TRANSACTIONS;Salaamaalekum. Dama am ab jafe-jafe ndax dafa am ci sama jukkiteb kont benn peyoor bu ma ràññeewul.  Ndax mën ngéen ma tektal samay jëflante yu mujj yi ?;[salaːmaːlekum. dama am ab jafe-jafe ndax dafa am ci sama jukːiteb kont benː peyoːr bu ma ràñːewul. ndax mën ngeːn ma tektal samay jëflante yu mujː yi]
121;non monsieur je vous appelle parce que j'aimerais faire une recherche sur mes transactions récents il y a une de mes dernières transactions que je ne reconnais pas je voudrais regarder exactement ce que c'est merci beaucoup;LATEST_TRANSACTIONS;Déedeed Sëñ bi, Dama woote ndax dama bëgga gëstu ci samay jëflante yu mujj yi. Dafa ci am benn bu ma ràññeewul.;[deːdeːt sëñ bi, dama woːte ndax dama bëgːa gëstu ci samay jëflante yu mujː yi. dafa ci am benː bu ma ràñːeːwul]
122;j'appelle pour pouvoir avoir un aperçu de mes transactions récentes sur mon compte bancaire et voir si il y a des paiements que je connais ou que je ne connais pas ;LATEST_TRANSACTIONS;Dama woote ngir mën am gis-gis ci sama jëflante yi yees ci sama kontu bànk, ak seet ndax amna ay peyoor yu ma xam walla ràññeewuma leen.;[dama woːte ngir mën am gis-gis ci sama jëflante yi yeːs ci sama kontu bànk, ak seːt ndax amna ay peyoːr yu ma xam walːa ràñːeːwuma leːn]
123;j'aimerais voir les transactions les plus récentes;LATEST_TRANSACTIONS;Dama bëggoona gis sama jëflantle yi gëna yees;[dama bëgːoːna gis sama jëflante yi gëna yeːs]
124;puis-je voir mes dernières transactions;LATEST_TRANSACTIONS;Ndax mën naa gis sama jëflante yu mujj yi?;[ndax mën naː gis sama jëflante yu mujː yi?
125;je voudrais payer une facture;PAY_BILL;Dama bëgga fey ab faktiir.;[dama bëgːa fey ab faktiːr]
126;payer une facture;PAY_BILL;Fey ab faktiir.;[fey ab faktiːr]
127;Bonjour je souhaiterais payer une facture s'il vous plait;PAY_BILL;Salaamaalekum. Dama bëggoona fey ab këyit.  ;[salaːmaːlekum. dama bëgːoːna fey ab këyit]
128;je dois effectuer un paiement;PAY_BILL;Dama am lu ma wara fey.   ;[dama am lu ma wara fey]
129;je voudrais payer une facture;PAY_BILL;Dama bëggoona fey ab faktiir. ;[dama bëgːoːna fey ab faktiːr]
130;je souhaite payer une facture;PAY_BILL;Dama bëgga fey ab faktiir.;[dama bëgːa fey ab faktiːr]
